D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.00607,1,2059,999,53.63,0.599,2752
0.00607,1,2059,1106,53.39,0.568,2951
0.00607,1,2059,1341,57.7,0.501,3285
0.00607,1,2059,1313,57.7,0.519,3285
0.00607,1,2059,1413,56.26,0.505,3493
0.00607,1,2059,1700,59.61,0.437,3835
0.00607,1,2059,1683,59.37,0.449,3855
0.00607,1,1128,646,55.9,0.63,1772
0.00607,1,1177,626,56.01,0.658,1772
0.00607,1,1177,753,55.53,0.594,1990
0.00607,1,1147,892,55.5,0.548,2228
0.00607,1,1147,1047,57.65,0.519,2512
0.00607,1,1147,1251,57.89,0.474,2829
0.00607,1,1147,1424,57.41,0.44,3076
0.00607,1,1147,1531,57.89,0.428,3249
0.00607,1,1147,1531,57.89,0.428,3249
0.00239,0.07,207,3037.4,26.03,-0.035,8398.2
0.01,1,9800,676,117.82,0.378,2351
0.01,1,9800,849,121.14,0.291,2678
0.01,1,9800,1001,123.51,0.227,2926
0.01,1,9800,1164,125.4,0.198,3257
0.01,1,9800,1313,124.92,0.147,3462
0.01,1,9800,1352,114.97,0.131,3630
0.01,1,9800,1514,116.16,0.093,3861
0.01,1,9800,1861,133.66,0.012,3915
0.01,1,9800,1946,125.63,-0.002,4170
0.01,1,9800,2331,135.78,-0.04,4447
0.01,1,9800,2536,135.08,-0.058,4711
0.01,1,9800,2791,139.08,-0.07,4949
0.01,2,9800,474,103.56,0.71,1121
0.01,2,9800,517,99.74,0.656,1181
0.01,2,9800,581,95.45,0.604,1290
0.01,2,9800,619,95.93,0.583,1354
0.01,2,9800,662,99.74,0.568,1420
0.01,2,9800,842,104.51,0.469,1650
0.01,2,9800,871,105.7,0.455,1677
0.01,2,9800,888,114.02,0.436,1646
0.01,2,9800,973,113.55,0.422,1782
0.01,2,9800,1150,121.14,0.358,1938
0.01,2,9800,1422,139.31,0.276,2072
0.01,2,9800,1787,141.19,0.176,2286
0.01,2,9800,1956,143.3,0.145,2382
0.01,2,9800,2031,147.05,0.144,2434
0.01,2,9800,2473,157.56,0.089,2601
0.01,2,9800,2745,161.04,0.063,2719
0.01,2,9800,506,173.76,0.719,1015
0.01,2,9800,701,188.4,0.601,1208
0.01,2,9800,871,199.7,0.517,1329
0.01,2,9800,871,196.55,0.504,1328
0.01,2,9800,1069,199.93,0.453,1520
0.01,2,9800,1115,197,0.441,1582
0.01,2,9800,1178,194.74,0.423,1650
0.01,2,9800,1497,198.13,0.312,1795
0.01,2,9800,1638,201.27,0.29,1878
0.01,2,9800,2016,206.87,0.204,1966
0.01,2,9800,2027,211.32,0.209,1944
0.01,2,9800,3102,219.92,0.1,2267
0.01,2,9800,3138,223.64,0.097,2209
0.01,2,9800,3325,217.72,0.089,2408
0.01,2,9800,3516,219.92,0.081,2459
0.01,2,9800,3799,223.64,0.069,2503
0.01,2,9800,4188,226.91,0.059,2615
0.01,2,9800,4252,224.51,0.056,2690
0.01,2,9800,4418,224.51,0.05,2755
0.01,2,9800,4800,230.16,0.046,2800
0.01,2,9800,5221,234.89,0.048,2923
0.01001,3,9800,481,208.43,0.832,640
0.01001,3,9800,541,211.98,0.798,693
0.01001,3,9800,558,205.98,0.791,724
0.01001,3,9800,636,207.76,0.725,778
0.01001,3,9800,714,203.74,0.679,846
0.01001,3,9800,816,198.35,0.598,911
0.01001,3,9800,911,202.84,0.552,954
0.01001,3,9800,1063,199.48,0.461,1022
0.01001,3,9800,1247,202.17,0.412,1118
0.01001,3,9800,1395,207.54,0.402,1210
0.01001,3,9800,1515,206.87,0.366,1257
0.01001,3,9800,1659,209.76,0.354,1338
0.01001,3,9800,2041,205.31,0.272,1494
0.01001,3,9800,3206,213.31,0.13,1750
0.01001,3,9800,3488,213.31,0.117,1856
0.01001,3,9800,3841,212.2,0.097,1974
0.01001,3,9800,4173,211.54,0.087,2109
0.01001,3,9800,4744,213.75,0.076,2303
0.01001,3,9800,5045,214.64,0.07,2398
0.01001,3,9800,5214,204.19,0.06,2622
0.01001,3,9800,5458,214.86,0.06,2535
0.01001,3,9800,6838,214.64,0.04,3027
0.01001,3,9800,7420,210.65,0.03,3313
0.01001,3,9800,473,288.19,0.837,484
0.01001,3,9800,869,286.51,0.549,651
0.01001,3,9800,1179,286.51,0.465,733
0.01001,3,9800,1571,285.19,0.383,846
0.01001,3,9800,2281,286.88,0.319,1049
0.01001,3,9800,3297,283.49,0.233,1251
0.01001,3,9800,3968,286.13,0.205,1339
0.01001,3,9800,4628,285.57,0.187,1479
0.01001,3,9800,5563,290.05,0.195,1717
0.01,4.966,9800,527,210.21,0.883,445
0.01,4.966,9800,595,207.98,0.824,477
0.01,4.966,9800,704,204.19,0.733,532
0.01,4.966,9800,1047,203.29,0.533,651
0.01,4.966,9800,1235,208.65,0.464,695
0.01,4.966,9800,1603,206.2,0.386,824
0.01,4.966,9800,2193,207.76,0.338,1046
0.01,4.966,9800,2639,213.09,0.305,1164
0.01,4.966,9800,3771,207.98,0.185,1407
0.01,4.966,9800,4570,209.32,0.144,1560
0.01,4.966,9800,6632,208.2,0.101,2081
0.01,4.966,9800,602,288.38,0.83,373
0.01,4.966,9800,708,289.49,0.747,395
0.01,4.966,9800,747,288.38,0.729,409
0.01,4.966,9800,1001,289.49,0.566,438
0.01,4.966,9800,1164,288.94,0.515,471
0.01,4.966,9800,1861,289.49,0.383,583
0.01,4.966,9800,2466,289.86,0.35,714
0.01,4.966,9800,2703,289.49,0.342,769
0.01,4.966,9800,2979,288.56,0.339,847
0.01,4.966,9800,3322,290.05,0.333,918
0.01,4.966,9800,4811,289.49,0.318,1281
0.01,4.966,9800,5472,290.05,0.304,1395
0.01,4.966,9800,6197,290.6,0.298,1542
0.01,4.966,9800,6643,289.12,0.288,1632
0.01,1,11760,368,97.8,0.605,1642
0.01,1,11760,446,91.82,0.527,1898
0.01,1,11760,598,104,0.391,2235
0.01,1,11760,743,104.96,0.332,2636
0.01,1,11760,913,123.02,0.197,2698
0.01,1,11760,1192,126.1,0.061,3004
0.01,1,11760,1408,127.99,0.014,3326
0.01,2,11760,397,98.04,0.683,930
0.01,2,11760,432,100.9,0.67,992
0.01,2,11760,517,101.86,0.579,1115
0.01,2,11760,616,101.86,0.494,1253
0.01,2,11760,641,101.86,0.467,1280
0.01,2,11760,669,100.9,0.453,1318
0.01,2,11760,747,101.86,0.407,1424
0.01,2,11760,782,101.86,0.404,1481
0.01,2,11760,807,103.05,0.401,1520
0.01,2,11760,846,104,0.376,1559
0.01,2,11760,892,105.91,0.344,1596
0.01,2,11760,1051,113.05,0.292,1759
0.01,2,11760,1108,113.05,0.244,1778
0.01,2,11760,1146,114,0.234,1816
0.01,2,11760,1242,114.95,0.22,1935
0.01,2,11760,1454,114,0.129,2077
0.01,2,11760,1574,118.99,0.119,2175
0.01,2,11760,1656,121.12,0.114,2262
0.01,2,11760,2186,129.18,0.046,2678
0.01,2,11760,2229,130.12,0.048,2714
0.01,2,11760,2459,135.08,0.032,2879
0.01,2,11760,2625,139.08,0.022,2976
0.01,2,11760,2734,140.26,0.016,3069
0.01,2,11760,361,169.66,0.757,748
0.01,2,11760,467,171.51,0.677,908
0.01,2,11760,517,171.51,0.64,972
0.01,2,11760,605,174.74,0.567,1061
0.01,2,11760,1981,210.34,0.139,1836
0.01,2,11760,2130,212.34,0.107,1849
0.01,2,11760,2522,224.68,0.11,2018
0.01,2,11760,3007,234.88,0.087,2146
0.01,2,11760,3081,229.69,0.08,2257
0.01,2,11760,3145,221.62,0.071,2391
0.01,2,11760,4344,232.72,0.044,2865
0.01,2,11760,4584,232.72,0.038,2972
0.01,2,11760,478,307.74,0.695,555
0.01,2,11760,694,307.74,0.569,672
0.01,2,11760,757,305.85,0.572,746
0.01,2,11760,1352,312.6,0.363,837
0.01,2,11760,2055,313.59,0.256,933
0.01,2,11760,2094,308.76,0.24,972
0.01,2,11760,3923,311.77,0.17,1329
0.01,2,11760,4156,309.77,0.168,1460
0.01,2,11760,4669,311.77,0.167,1581
0.01,2,11760,5086,311.77,0.162,1684
0.01,2,11760,6063,312.6,0.163,1965
0.01,2,11760,6554,310.78,0.16,2164
0.01,2,11760,7212,311.77,0.159,2324
0.01001,3,11760,385,218.54,0.786,475
0.01001,3,11760,463,221.62,0.682,518
0.01001,3,11760,516,214.34,0.665,581
0.01001,3,11760,661,217.43,0.576,680
0.01001,3,11760,699,219.42,0.57,710
0.01001,3,11760,894,219.42,0.47,816
0.01001,3,11760,1031,222.49,0.434,892
0.01001,3,11760,1169,221.62,0.379,955
0.01001,3,11760,1388,222.49,0.308,1032
0.01001,3,11760,1977,223.59,0.192,1232
0.01001,3,11760,2542,225.56,0.143,1439
0.01001,3,11760,2817,222.49,0.126,1574
0.01001,3,11760,3124,223.59,0.115,1708
0.01001,3,11760,3467,224.68,0.108,1858
0.01001,3,11760,4116,226.65,0.089,2098
0.01001,3,11760,4377,224.68,0.084,2236
0.01001,3,11760,4688,225.56,0.08,2351
0.01001,3,11760,5652,217.43,0.053,2873
0.01001,3,11760,6358,228.61,0.06,2988
0.01001,3,11760,6887,230.78,0.049,3126
0.01001,3,11760,375,300.77,0.861,366
0.01001,3,11760,406,300.77,0.806,373
0.01001,3,11760,477,299.7,0.715,396
0.01001,3,11760,530,301.83,0.676,416
0.01001,3,11760,636,302.71,0.598,444
0.01001,3,11760,777,304.81,0.537,490
0.01001,3,11760,904,297.72,0.484,552
0.01001,3,11760,1310,303.76,0.402,653
0.01001,3,11760,1529,302.71,0.366,718
0.01001,3,11760,3456,301.83,0.193,1053
0.01001,3,11760,4201,302.71,0.195,1254
0.01001,3,11760,4452,303.76,0.197,1318
0.01001,3,11760,4925,302.71,0.193,1470
0.01001,3,11760,5648,298.8,0.176,1704
0.01001,3,11760,6795,301.83,0.18,1953
0.01,4.966,11760,485,222.49,0.717,339
0.01,4.966,11760,609,221.62,0.623,389
0.01,4.966,11760,779,221.62,0.553,465
0.01,4.966,11760,938,219.42,0.469,519
0.01,4.966,11760,1277,221.62,0.401,646
0.01,4.966,11760,1772,221.62,0.327,812
0.01,4.966,11760,3237,222.49,0.164,1157
0.01,4.966,11760,3686,222.49,0.148,1278
0.01,4.966,11760,4018,221.62,0.145,1396
0.01,4.966,11760,4492,221.62,0.138,1533
0.01,4.966,11760,4892,220.52,0.138,1675
0.01,4.966,11760,5663,222.49,0.126,1863
0.01,4.966,11760,5688,222.49,0.124,1867
0.01,4.966,11760,400,302.71,0.814,223
0.01,4.966,11760,549,301.83,0.644,248
0.01,4.966,11760,644,303.76,0.589,269
0.01,4.966,11760,1083,303.76,0.422,341
0.01,4.966,11760,1309,303.76,0.383,383
0.01,4.966,11760,1334,301.83,0.402,411
0.01,4.966,11760,1539,303.76,0.373,439
0.01,4.966,11760,1581,302.71,0.382,464
0.01,4.966,11760,1914,300.77,0.338,521
0.01,4.966,11760,2844,303.76,0.303,682
0.01,4.966,11760,3414,302.71,0.303,835
0.01,4.966,11760,4100,302.71,0.31,1010
0.01,4.966,11760,4772,304.81,0.308,1140
0.01,4.966,11760,5366,304.81,0.3,1258
0.01,4.966,11760,5942,302.71,0.293,1389
0.01,1,13720,241,149.88,0.721,1016
0.01,1,13720,305,161.1,0.597,1152
0.01,1,13720,336,109.67,0.492,1358
0.01,1,13720,365,101.08,0.445,1452
0.01,1,13720,375,96.06,0.456,1533
0.01,1,13720,390,96.06,0.374,1506
0.01,1,13720,400,99.17,0.398,1550
0.01,1,13720,418,94.63,0.317,1609
0.01,1,13720,436,98.21,0.357,1645
0.01,1,13720,443,103.71,0.385,1685
0.01,1,13720,443,104.19,0.317,1671
0.01,1,13720,464,94.15,0.336,1750
0.01,1,13720,478,100.6,0.299,1732
0.01,1,13720,496,95.58,0.257,1753
0.01,1,13720,499,97.02,0.315,1832
0.01,1,13720,573,98.21,0.21,1949
0.01,1,13720,581,96.06,0.228,2016
0.01,1,13720,598,93.19,0.198,2041
0.01,1,13720,598,98.69,0.2,2013
0.01,1,13720,648,99.65,0.152,2093
0.01,1,13720,842,119.66,0.109,2439
0.01,1,13720,867,115.15,0.082,2493
0.01,1,13720,1306,118.24,-0.018,3369
0.01,1,13720,1320,120.14,-0.022,3344
0.01,1,13720,1341,121.33,-0.04,3333
0.01,1,13720,1419,120.61,-0.058,3463
0.01,1,13720,1454,125.83,-0.072,3422
0.01,1,13720,1507,131.28,-0.107,3319
0.01,1,13720,1642,130.33,-0.119,3578
0.01,1,13720,1751,144.48,-0.109,3601
0.01,1,13720,1833,144.01,-0.124,3711
0.01,1,13720,1995,145.42,-0.137,3933
0.01,1,13720,432,185.57,0.441,1335
0.01,1,13720,980,196.73,0.086,1975
0.01,1,13720,991,189.68,0.089,2087
0.01,1,13720,1047,185.57,0.066,2187
0.01,1,13720,1058,198.31,0.051,2024
0.01,1,13720,1139,190.14,0.052,2282
0.01,1,13720,1157,199.44,0.032,2143
0.01,1,13720,1221,202.37,0.037,2231
0.01,1,13720,1242,203.5,0.038,2257
0.01,1,13720,1291,194.23,0.018,2410
0.01,1,13720,1359,192.19,0.007,2526
0.01,1,13720,1525,201.47,-0.002,2651
0.01,1,13720,1620,200.34,-0.029,2717
0.01,1,13720,1705,207.54,-0.025,2737
0.01,1,13720,1744,198.31,-0.034,2940
0.01,1,13720,1787,208.66,-0.023,2862
0.01,1,13720,1868,199.89,-0.059,2992
0.01,1,13720,1949,194.69,-0.058,3233
0.01,1,13720,2002,195.82,-0.064,3269
0.01,1,13720,2105,196.27,-0.069,3392
0.01,1,13720,2133,200.34,-0.075,3307
0.01,1,13720,2561,203.05,-0.091,3799
0.01,2,13720,329,99.65,0.695,766
0.01,2,13720,361,100.6,0.643,814
0.01,2,13720,411,104.66,0.566,875
0.01,2,13720,464,97.74,0.544,996
0.01,2,13720,482,99.65,0.534,1023
0.01,2,13720,549,97.74,0.446,1103
0.01,2,13720,605,96.54,0.409,1194
0.01,2,13720,637,98.21,0.385,1226
0.01,2,13720,697,103.71,0.332,1274
0.01,2,13720,768,108.24,0.298,1352
0.01,2,13720,803,110.15,0.287,1395
0.01,2,13720,835,107.05,0.287,1465
0.01,2,13720,899,111.1,0.228,1480
0.01,2,13720,899,110.15,0.245,1514
0.01,2,13720,1037,116.1,0.155,1585
0.01,2,13720,1100,112.29,0.129,1673
0.01,2,13720,1129,112.77,0.14,1724
0.01,2,13720,1175,108.24,0.095,1753
0.01,2,13720,1210,114.2,0.106,1786
0.01,2,13720,1217,110.62,0.121,1842
0.01,2,13720,1327,109.67,0.062,1911
0.01,2,13720,1380,112.29,0.072,1987
0.01,2,13720,1380,108.72,0.058,1987
0.01,2,13720,1440,112.77,0.059,2046
0.01,2,13720,1511,111.58,0.055,2143
0.01,2,13720,1514,113.24,0.043,2113
0.01,2,13720,1571,114.2,0.047,2192
0.01,2,13720,1684,116.81,0.032,2295
0.01,2,13720,1825,121.33,0.022,2420
0.01,2,13720,1974,122.28,0.012,2577
0.01,2,13720,2268,124.17,-0.017,2855
0.01,2,13720,2321,121.33,-0.014,2967
0.01,2,13720,2406,125.83,-0.026,2976
0.01,2,13720,2501,126.78,-0.024,3088
0.01,2,13720,2692,127.73,-0.036,3268
0.01,2,13720,315,178.92,0.713,611
0.01,2,13720,333,187.17,0.735,644
0.01,2,13720,354,191.73,0.743,680
0.01,2,13720,375,165.75,0.657,725
0.01,2,13720,411,171.31,0.631,774
0.01,2,13720,446,180.53,0.617,804
0.01,2,13720,503,191.73,0.571,847
0.01,2,13720,545,193.33,0.53,882
0.01,2,13720,722,196.73,0.38,1014
0.01,2,13720,938,187.17,0.265,1219
0.01,2,13720,1058,194.23,0.236,1297
0.01,2,13720,1175,183.97,0.173,1407
0.01,2,13720,1327,178.92,0.134,1553
0.01,2,13720,1390,178,0.126,1622
0.01,2,13720,1596,193.78,0.11,1686
0.01,2,13720,2094,198.31,0.053,2008
0.01,2,13720,2232,203.05,0.057,2096
0.01,2,13720,2444,209.1,0.039,2152
0.01,2,13720,899,319.41,0.413,625
0.01,2,13720,1497,325.17,0.314,772
0.01,2,13720,1963,325.17,0.248,840
0.01,2,13720,2575,325.17,0.211,973
0.01,2,13720,3215,324.26,0.203,1196
0.01,2,13720,3435,325.62,0.215,1295
0.01,2,13720,3562,324.72,0.199,1307
0.01,2,13720,3859,325.62,0.206,1411
0.01,2,13720,4206,325.62,0.206,1538
0.01,2,13720,4906,327.11,0.205,1717
0.01,2,13720,5705,325.62,0.187,1949
0.01,2,13720,6713,323.18,0.178,2335
0.01001,3,13720,364,236.78,0.667,381
0.01001,3,13720,421,229.2,0.703,465
0.01001,3,13720,523,240.86,0.613,514
0.01001,3,13720,569,231.16,0.569,550
0.01001,3,13720,583,231.16,0.636,617
0.01001,3,13720,872,233.54,0.339,668
0.01001,3,13720,908,233.11,0.364,717
0.01001,3,13720,975,228.98,0.356,776
0.01001,3,13720,1303,236.78,0.278,910
0.01001,3,13720,1864,249.35,0.186,1059
0.01001,3,13720,2041,240.86,0.157,1175
0.01001,3,13720,2171,238.72,0.146,1246
0.01001,3,13720,3650,242.36,0.125,1975
0.01001,3,13720,4247,241.29,0.106,2239
0.01001,3,13720,4688,238.29,0.092,2474
0.01001,3,13720,5274,240.86,0.089,2720
0.01001,3,13720,6273,234.62,0.067,3261
0.01001,3,13720,449,309.45,0.66,331
0.01001,3,13720,548,311.5,0.621,379
0.01001,3,13720,668,315.51,0.588,427
0.01001,3,13720,791,311.5,0.525,479
0.01001,3,13720,1169,313.52,0.4,567
0.01001,3,13720,1836,316.99,0.265,636
0.01001,3,13720,2129,314.02,0.247,733
0.01001,3,13720,2598,315.02,0.227,837
0.01001,3,13720,2800,315.02,0.228,907
0.01001,3,13720,3689,313.52,0.226,1218
0.01001,3,13720,4688,316.5,0.222,1457
0.01001,3,13720,5475,314.52,0.211,1702
0.01,4.966,13720,404,233.11,0.733,270
0.01,4.966,13720,503,233.54,0.65,314
0.01,4.966,13720,542,233.11,0.641,336
0.01,4.966,13720,605,237.64,0.599,358
0.01,4.966,13720,665,234.19,0.569,387
0.01,4.966,13720,687,235.06,0.584,402
0.01,4.966,13720,800,234.19,0.512,439
0.01,4.966,13720,1044,234.19,0.412,518
0.01,4.966,13720,1185,230.5,0.368,568
0.01,4.966,13720,1348,232.03,0.351,629
0.01,4.966,13720,2342,232.68,0.199,897
0.01,4.966,13720,3014,231.59,0.195,1143
0.01,4.966,13720,3360,235.06,0.204,1265
0.01,4.966,13720,4605,237.21,0.19,1670
0.01,4.966,13720,5076,236.78,0.189,1832
0.01,4.966,13720,5727,236.13,0.161,1984
0.01,4.966,13720,6236,234.62,0.156,2163
0.01,4.966,13720,329,314.02,0.815,168
0.01,4.966,13720,496,315.51,0.59,190
0.01,4.966,13720,524,315.02,0.588,203
0.01,4.966,13720,641,316.5,0.542,230
0.01,4.966,13720,729,315.02,0.51,252
0.01,4.966,13720,821,316.01,0.482,268
0.01,4.966,13720,920,317.48,0.472,293
0.01,4.966,13720,1026,315.51,0.43,308
0.01,4.966,13720,1083,316.01,0.445,332
0.01,4.966,13720,1401,316.99,0.392,374
0.01,4.966,13720,1426,316.01,0.398,402
0.01,4.966,13720,2264,316.99,0.3,510
0.01,4.966,13720,2568,318.45,0.297,565
0.01,4.966,13720,2759,316.5,0.304,631
0.01,4.966,13720,3092,316.99,0.295,689
0.01,4.966,13720,3410,317.48,0.3,759
0.01,4.966,13720,3742,316.99,0.295,829
0.01,4.966,13720,4439,316.99,0.304,1010
0.01,4.966,13720,5012,316.5,0.303,1132
0.01,4.966,13720,6172,316.99,0.3,1370
0.01,4.966,13720,6363,316.5,0.326,1496
0.01,1,15690,308,100.35,0.468,1264
0.01,1,15690,333,98.44,0.547,1423
0.01,1,15690,365,95.33,0.383,1439
0.01,1,15690,365,94.37,0.459,1504
0.01,1,15690,421,94.37,0.3,1588
0.01,1,15690,496,97.48,0.25,1792
0.01,1,15690,499,95.33,0.203,1761
0.01,1,15690,510,100.35,0.189,1743
0.01,1,15690,517,103.46,0.184,1756
0.01,1,15690,563,97.48,0.117,1860
0.01,1,15690,570,99.4,0.143,1902
0.01,1,15690,627,103.46,0.129,2048
0.01,1,15690,662,105.37,0.112,2130
0.01,1,15690,711,105.37,0.077,2227
0.01,1,15690,867,103.46,0.077,2733
0.01,1,15690,772,111.34,0.137,2479
0.01,1,15690,786,110.38,0.098,2459
0.01,1,15690,832,108.48,0.047,2520
0.01,1,15690,906,101.79,-0.011,2679
0.01,1,15690,917,120.39,0.068,2699
0.01,1,15690,952,116.58,0.04,2785
0.01,1,15690,1069,121.57,-0.026,2902
0.01,1,15690,1111,120.39,-0.076,2906
0.01,1,15690,1164,117.53,-0.069,3104
0.01,1,15690,1185,123,-0.103,2987
0.01,1,15690,1256,123.47,-0.152,3023
0.01,1,15690,1323,123.95,-0.136,3224
0.01,1,15690,793,191.62,0.038,1686
0.01,1,15690,810,187.05,0.136,1948
0.01,1,15690,1228,200.92,-0.055,2225
0.01,1,15690,1422,208.58,-0.063,2432
0.01,1,15690,1581,205.43,-0.098,2630
0.01,2,15690,312,125.61,0.602,643
0.01,2,15690,326,126.56,0.682,698
0.01,2,15690,372,132.48,0.509,712
0.01,2,15690,404,132.01,0.458,752
0.01,2,15690,566,112.53,0.347,1044
0.01,2,15690,736,126.08,0.204,1181
0.01,2,15690,818,123.47,0.157,1274
0.01,2,15690,892,122.05,0.141,1385
0.01,2,15690,1175,132.48,0.068,1654
0.01,2,15690,1306,128.46,0.015,1789
0.01,2,15690,1571,144.28,0.002,2002
0.01,2,15690,1631,144.76,0.006,2077
0.01,2,15690,1709,145.23,0.006,2173
0.01,2,15690,1871,142.64,-0.011,2371
0.01,2,15690,1946,144.76,-0.016,2430
0.01,2,15690,2045,146.17,-0.031,2500
0.01,2,15690,2253,145.23,-0.042,2740
0.01,2,15690,2505,149.69,-0.059,2940
0.01,2,15690,379,175.32,0.511,646
0.01,2,15690,474,176.7,0.419,752
0.01,2,15690,527,196.62,0.398,767
0.01,2,15690,616,193.21,0.329,858
0.01,2,15690,680,193.67,0.312,929
0.01,2,15690,810,202.28,0.254,1019
0.01,2,15690,842,193.67,0.228,1073
0.01,2,15690,909,191.16,0.243,1189
0.01,2,15690,927,183.84,0.2,1197
0.01,2,15690,945,187.05,0.223,1232
0.01,2,15690,1072,197.75,0.194,1301
0.01,2,15690,1497,214.61,0.085,1490
0.01,2,15690,1461,197.75,0.057,1538
0.01,2,15690,1168,335.13,0.359,629
0.01,2,15690,1719,335.13,0.273,755
0.01,2,15690,2204,334.72,0.233,869
0.01,2,15690,2268,333.73,0.261,989
0.01,2,15690,3169,337.45,0.257,1246
0.01,2,15690,3612,337.05,0.243,1388
0.01,2,15690,4132,337.45,0.241,1547
0.01,2,15690,4655,336.51,0.217,1667
0.01,2,15690,4994,337.05,0.226,1810
0.01,2,15690,5716,335.55,0.205,2017
0.01,2,15690,6112,335.55,0.209,2174
0.01001,3,15690,435,247.5,0.559,396
0.01001,3,15690,456,246.01,0.537,409
0.01001,3,15690,484,243.45,0.515,432
0.01001,3,15690,491,243.45,0.52,439
0.01001,3,15690,533,241.74,0.522,481
0.01001,3,15690,622,241.74,0.458,531
0.01001,3,15690,646,240.88,0.47,559
0.01001,3,15690,706,238.73,0.415,586
0.01001,3,15690,1162,241.74,0.259,810
0.01001,3,15690,1487,242.38,0.197,964
0.01001,3,15690,1744,242.81,0.185,1110
0.01001,3,15690,1945,241.31,0.137,1179
0.01001,3,15690,1956,237.22,0.16,1247
0.01001,3,15690,2891,244.31,0.123,1686
0.01001,3,15690,3813,245.37,0.131,2229
0.01001,3,15690,4434,248.99,0.11,2466
0.01001,3,15690,4752,241.31,0.087,2690
0.01001,3,15690,5313,240.88,0.079,2991
0.01001,3,15690,6185,240.24,0.031,3261
0.01001,3,15690,371,321.57,0.69,257
0.01001,3,15690,442,327.39,0.668,284
0.01001,3,15690,456,323.97,0.672,304
0.01001,3,15690,576,325.07,0.561,330
0.01001,3,15690,682,325.07,0.522,370
0.01001,3,15690,805,323.49,0.456,403
0.01001,3,15690,872,326.47,0.474,433
0.01001,3,15690,1204,326.93,0.369,501
0.01001,3,15690,1727,325.54,0.3,639
0.01001,3,15690,2210,325.54,0.298,815
0.01001,3,15690,2457,322.54,0.276,897
0.01001,3,15690,3389,320.6,0.262,1239
0.01001,3,15690,3594,320.6,0.258,1306
0.01001,3,15690,3926,319.62,0.251,1427
0.01001,3,15690,4882,322.06,0.246,1691
0.01001,3,15690,6107,326.93,0.248,1960
0.01,4.966,15690,368,242.38,0.808,245
0.01,4.966,15690,453,246.01,0.673,270
0.01,4.966,15690,464,246.86,0.722,287
0.01,4.966,15690,510,246.86,0.677,303
0.01,4.966,15690,627,244.31,0.576,348
0.01,4.966,15690,708,245.37,0.542,381
0.01,4.966,15690,828,244.95,0.481,423
0.01,4.966,15690,1086,244.31,0.384,508
0.01,4.966,15690,1284,242.38,0.315,564
0.01,4.966,15690,1666,243.88,0.27,690
0.01,4.966,15690,1960,247.93,0.268,788
0.01,4.966,15690,2158,246.01,0.278,888
0.01,4.966,15690,2476,245.37,0.261,999
0.01,4.966,15690,2802,245.37,0.262,1126
0.01,4.966,15690,3488,246.44,0.246,1368
0.01,4.966,15690,4262,246.86,0.233,1632
0.01,4.966,15690,4835,247.93,0.229,1827
0.01,4.966,15690,6084,246.01,0.197,2219
0.01,4.966,15690,414,325.54,0.679,165
0.01,4.966,15690,524,326.93,0.658,201
0.01,4.966,15690,566,326.47,0.67,220
0.01,4.966,15690,627,326,0.667,245
0.01,4.966,15690,687,325.07,0.619,254
0.01,4.966,15690,909,327.39,0.505,282
0.01,4.966,15690,927,324.6,0.515,301
0.01,4.966,15690,1115,326.47,0.456,322
0.01,4.966,15690,1344,327.39,0.393,345
0.01,4.966,15690,1412,326,0.385,366
0.01,4.966,15690,1617,328,0.366,394
0.01,4.966,15690,1914,326.93,0.344,453
0.01,4.966,15690,2084,328.45,0.346,483
0.01,4.966,15690,2345,325.07,0.341,560
0.01,4.966,15690,2897,326.93,0.339,674
0.01,4.966,15690,3304,326.93,0.328,748
0.01,4.966,15690,3668,326,0.353,881
0.01,4.966,15690,4107,325.07,0.347,987
0.01,4.966,15690,5387,326.47,0.336,1240
0.01,4.966,15690,5942,326.93,0.343,1370
0.01,1,17650,372,97.06,0.376,1478
0.01,1,17650,609,100.17,-0.081,1856
0.01,2,17650,361,101.13,0.386,714
0.01,2,17650,404,98.97,0.317,772
0.01,2,17650,457,101.13,0.259,845
0.01,2,17650,517,102.08,0.207,923
0.01,2,17650,556,104,0.18,974
0.01,2,17650,665,105.19,0.079,1099
0.01,2,17650,729,105.19,0.048,1179
0.01,2,17650,786,106.15,0.072,1286
0.01,2,17650,863,108.06,0.01,1353
0.01,2,17650,443,171.99,0.358,697
0.01,2,17650,517,171.99,0.278,772
0.01,2,17650,683,158.24,0.157,990
0.01,2,17650,722,146.51,0.119,1061
0.01,2,17650,726,140.38,0.129,1099
0.01,2,17650,775,136.36,0.117,1182
0.01,2,17650,807,137.3,0.155,1253
0.01,2,17650,1051,136.36,-0.005,1479
0.01,2,17650,1154,137.78,-0.063,1546
0.01,2,17650,1270,145.56,-0.041,1682
0.01,2,17650,1383,148.62,-0.049,1797
0.01,2,17650,1461,147.45,-0.076,1863
0.01,2,17650,1482,147.45,-0.08,1889
0.01,2,17650,1677,149.56,-0.091,2102
0.01,2,17650,1695,150.03,-0.071,2152
0.01,2,17650,1861,147.92,-0.096,2334
0.01,2,17650,2116,149.56,-0.128,2577
0.01,2,17650,2335,149.56,-0.149,2791
0.01,2,17650,2448,150.5,-0.163,2879
0.01,2,17650,2586,152.62,-0.177,2987
0.01,2,17650,2374,346.54,0.294,992
